series,run,step,train_loss,train_token_accuracy,learning_rate
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1050,0.7711,0.8070914000272751,1.0945683375919722e-06
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1100,0.7953,0.8032291084527969,8.799743125986529e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1150,0.8032,0.8007195293903351,6.842434201904255e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1200,0.7897,0.8044848293066025,5.096546969302313e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1250,0.7805,0.8040081709623337,3.5824100579075703e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1300,0.7562,0.8096711933612823,2.3176536605828443e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1350,0.8136,0.8001777082681656,1.3170042522205607e-07
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1400,0.7566,0.8101358562707901,5.921131187280382e-08
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1450,0.751,0.8115555495023727,1.5142069266580462e-08
From1000 small LR,qwen3_32b_stage1_bestval_from1000,1500,0.7443,0.8118558973073959,5.827517723377973e-12
